Setting,Lecture,marker_window_pm_sec,confirm_threshold,prominence_min,context_span,min_distance_sec,Precision,Recall,F1,Predicted Boundaries,GT Boundaries,semantic_after_prominence
F2_pm15_c06_p00_md30_s1,lecture1,15,0.6,0.0,1,30.0,0.3333,0.3333,0.3333,33,33,204
F2_pm15_c06_p00_md30_s1,lecture2,15,0.6,0.0,1,30.0,0.3684,0.2857,0.3218,38,49,285
F2_pm15_c06_p00_md30_s1,lecture3,15,0.6,0.0,1,30.0,0.2593,0.2917,0.2745,27,24,187
F2_pm15_c06_p00_md30_s1,lecture4,15,0.6,0.0,1,30.0,0.3913,0.2647,0.3158,23,34,176
