Setting,Lecture,marker_window_pm_sec,confirm_threshold,prominence_min,context_span,min_distance_sec,Precision,Recall,F1,Predicted Boundaries,GT Boundaries,semantic_after_prominence
F2_pm20_c06_p004_md20_s1,lecture1,20,0.6,0.04,1,20.0,0.3,0.3636,0.3288,40,33,181
F2_pm20_c06_p004_md20_s1,lecture2,20,0.6,0.04,1,20.0,0.3617,0.3469,0.3542,47,49,264
F2_pm20_c06_p004_md20_s1,lecture3,20,0.6,0.04,1,20.0,0.2162,0.3333,0.2623,37,24,172
F2_pm20_c06_p004_md20_s1,lecture4,20,0.6,0.04,1,20.0,0.303,0.2941,0.2985,33,34,163
