Setting,Lecture,marker_window_pm_sec,semantic_confirm_threshold,min_distance_sec,Precision,Recall,F1,Predicted Boundaries,GT Boundaries,marker_count_deduped,semantic_raw_before_gate
F1_pm20_c065_md20,lecture1,20,0.65,20.0,0.2766,0.3939,0.325,47,33,41,279
F1_pm20_c065_md20,lecture2,20,0.65,20.0,0.3333,0.3469,0.34,51,49,40,358
F1_pm20_c065_md20,lecture3,20,0.65,20.0,0.2045,0.375,0.2647,44,24,36,257
F1_pm20_c065_md20,lecture4,20,0.65,20.0,0.2708,0.3824,0.3171,48,34,46,266
