Setting,L1 F1,L2 F1,L3 F1,L4 F1,Avg F1
20s,0.4,0.4492,0.3063,0.3252,0.3702
30s,0.4364,0.5195,0.3441,0.3333,0.4083
45s,0.3636,0.4651,0.4051,0.3478,0.3954
60s,0.3636,0.431,0.3881,0.3457,0.3821
