Setting,marker_window_pm_sec,semantic_confirm_threshold,min_distance_sec,Precision,Recall,F1,Predicted Boundaries
F1_pm5_c055_md30,5,0.55,30,0.4047,0.124,0.1859,12.0
F1_pm5_c06_md30,5,0.6,30,0.3273,0.1745,0.2242,18.5
F1_pm10_c055_md30,10,0.55,30,0.3535,0.2078,0.2606,20.5
F1_pm10_c06_md30,10,0.6,30,0.3374,0.2634,0.2935,27.0
F1_pm15_c055_md30,15,0.55,30,0.3505,0.2487,0.2891,24.5
F1_pm15_c06_md30,15,0.6,30,0.3381,0.2939,0.3114,30.25
