Model,Semantic,Marker,Filler,Slide,Precision,Recall,F1,Predicted Boundaries
Baseline,✓,×,×,×,0.0678,0.7079,0.1234,102.75
Marker,×,✓,×,×,0.1058,0.4358,0.1698,40.75
Filler,×,×,✓,×,0.0655,0.8134,0.1212,122.0
Slide,×,×,×,✓,0.1027,0.121,0.1057,13.0
+Marker,✓,✓,×,×,0.0725,0.8639,0.1336,117.5
+Filler,✓,×,✓,×,0.057,0.9194,0.1072,158.0
+Slide,✓,×,×,✓,0.071,0.7606,0.1295,106.75
All,✓,✓,✓,✓,0.0568,0.9722,0.1073,167.75
