Setting,Lecture,marker_window_pm_sec,semantic_confirm_threshold,min_distance_sec,Precision,Recall,F1,Predicted Boundaries,GT Boundaries,marker_count_deduped,semantic_raw_before_gate
F1_pm10_c06_md20,lecture1,10,0.6,20.0,0.3333,0.2727,0.3,27,33,41,204
F1_pm10_c06_md20,lecture2,10,0.6,20.0,0.3056,0.2245,0.2588,36,49,40,285
F1_pm10_c06_md20,lecture3,10,0.6,20.0,0.25,0.2917,0.2692,28,24,36,187
F1_pm10_c06_md20,lecture4,10,0.6,20.0,0.4091,0.2647,0.3214,22,34,46,176
