Window Size,Lecture,Precision,Recall,F1,Predicted Boundaries,Ground Truth Boundaries,tp,fp,fn,tolerance_sec
1,lecture1,0.2238,0.9697,0.3636,143,33,32,111,1,30.0
1,lecture2,0.2579,1.0,0.41,190,49,49,141,0,30.0
1,lecture3,0.1846,1.0,0.3117,130,24,24,106,0,30.0
1,lecture4,0.2222,1.0,0.3636,153,34,34,119,0,30.0
