Window Size,Lecture,Precision,Recall,F1,Predicted Boundaries,Ground Truth Boundaries,tp,fp,fn,tolerance_sec
10,lecture1,0.0,0.0,0.0,0,33,0,0,33,30.0
10,lecture2,0.0,0.0,0.0,2,49,0,2,49,30.0
10,lecture3,0.0,0.0,0.0,2,24,0,2,24,30.0
10,lecture4,0.0,0.0,0.0,1,34,0,1,34,30.0
