pred_index,pred_time_sec,similarity,nearest_gt_dist_sec,fp_bucket
0,95.699,0.472954,83.699,offset_near_miss
1,159.24,0.382155,147.24,spurious_far
2,198.679,0.394284,137.321,spurious_far
3,252.8,0.407366,83.2,offset_near_miss
4,302.019,0.533939,33.981,offset_near_miss
5,386.369,0.285806,50.369,offset_near_miss
6,438.809,0.352391,102.809,offset_near_miss
7,479.149,0.465184,104.851,offset_near_miss
9,736.65,0.524187,152.65,spurious_far
10,833.419,0.354087,96.581,offset_near_miss
11,894.53,0.533933,35.47,offset_near_miss
12,979.739,0.390021,49.739,offset_near_miss
13,1036.349,0.544559,106.349,offset_near_miss
14,1076.959,0.341413,146.959,spurious_far
15,1124.28,0.454882,194.28,spurious_far
16,1190.13,0.376391,233.87,spurious_far
17,1249.64,0.304952,174.36,spurious_far
18,1291.079,0.429918,132.921,spurious_far
19,1353.819,0.36724,70.181,offset_near_miss
21,1497.27,0.458668,73.27,offset_near_miss
22,1579.609,0.398478,155.609,spurious_far
23,1615.31,0.470141,191.31,spurious_far
24,1777.489,0.346583,353.489,spurious_far
25,1865.89,0.336904,441.89,spurious_far
26,1905.579,0.501,481.579,spurious_far
27,1995.88,0.287742,571.88,spurious_far
28,2051.36,0.439676,627.36,spurious_far
29,2094.83,0.464786,670.83,spurious_far
30,2187.989,0.506724,581.011,spurious_far
31,2241.57,0.500713,527.43,spurious_far
32,2280.07,0.474428,488.93,spurious_far
33,2360.05,0.438929,408.95,spurious_far
34,2417.8,0.475754,351.2,spurious_far
35,2453.489,0.422441,315.511,spurious_far
36,2534.0,0.494065,235.0,spurious_far
37,2576.83,0.481173,192.17,spurious_far
38,2619.78,0.508453,149.22,spurious_far
39,2706.949,0.423314,62.051,offset_near_miss
41,2792.51,0.434357,23.51,redundant_near_gt
42,2829.87,0.416415,60.87,offset_near_miss
43,2935.989,0.183657,166.989,spurious_far
44,3013.439,0.537071,244.439,spurious_far
45,3119.439,0.4748,315.561,spurious_far
46,3158.34,0.496579,276.66,spurious_far
47,3199.54,0.425834,235.46,spurious_far
48,3389.12,0.409334,45.88,offset_near_miss
50,3458.84,0.488901,23.84,redundant_near_gt
51,3493.35,0.26698,58.35,offset_near_miss
52,3551.75,0.545199,116.75,offset_near_miss
53,3621.08,0.471584,186.08,spurious_far
54,3704.77,0.467389,114.23,offset_near_miss
55,3761.879,0.483977,57.121,offset_near_miss
57,3861.149,0.404973,42.149,offset_near_miss
58,3920.699,0.483367,101.699,offset_near_miss
59,3977.53,0.469988,158.53,spurious_far
60,4012.5,0.462557,184.5,spurious_far
61,4078.229,0.515409,118.771,offset_near_miss
62,4147.04,0.471413,49.96,offset_near_miss
63,4230.89,0.313735,33.89,offset_near_miss
64,4278.99,0.502724,81.99,offset_near_miss
65,4328.99,0.384284,131.99,spurious_far
66,4521.649,0.519114,324.649,spurious_far
67,4575.54,0.327676,378.54,spurious_far
68,4680.41,0.396471,483.41,spurious_far
69,4722.81,0.36754,525.81,spurious_far
70,4792.93,0.504548,595.93,spurious_far
71,4872.6,0.543682,675.6,spurious_far
72,4904.709,0.518969,707.709,spurious_far
73,4946.58,0.506254,749.58,spurious_far
74,4996.279,0.479912,799.279,spurious_far
75,5039.37,0.447018,842.37,spurious_far
76,5127.709,0.435245,930.709,spurious_far
