Setting,Lecture,marker_window_pm_sec,semantic_confirm_threshold,min_distance_sec,Precision,Recall,F1,Predicted Boundaries,GT Boundaries,marker_count_deduped,semantic_raw_before_gate
F1_pm25_c06_md20,lecture1,25,0.6,20.0,0.2549,0.3939,0.3095,51,33,41,204
F1_pm25_c06_md20,lecture2,25,0.6,20.0,0.3148,0.3469,0.3301,54,49,40,285
F1_pm25_c06_md20,lecture3,25,0.6,20.0,0.2093,0.375,0.2687,43,24,36,187
F1_pm25_c06_md20,lecture4,25,0.6,20.0,0.2955,0.3824,0.3333,44,34,46,176
