Window Size,L1 F1,L2 F1,L3 F1,L4 F1,Avg F1
1,0.1184,0.1095,0.1429,0.1111,0.1205
3,0.1132,0.1342,0.1443,0.102,0.1234
5,0.16,0.1364,0.0667,0.0769,0.11
7,0.0,0.0,0.1538,0.0,0.0384
10,0.0,0.0,0.1667,0.0,0.0417
