Setting,Lecture,marker_window_pm_sec,confirm_threshold,prominence_min,context_span,min_distance_sec,Precision,Recall,F1,Predicted Boundaries,GT Boundaries,semantic_after_prominence
F2_pm15_c06_p002_md30_s1,lecture1,15,0.6,0.02,1,30.0,0.1562,0.5556,0.2439,32,9,195
F2_pm15_c06_p002_md30_s1,lecture2,15,0.6,0.02,1,30.0,0.1351,0.4545,0.2083,37,11,274
F2_pm15_c06_p002_md30_s1,lecture3,15,0.6,0.02,1,30.0,0.1154,0.3,0.1667,26,10,178
F2_pm15_c06_p002_md30_s1,lecture4,15,0.6,0.02,1,30.0,0.0455,0.1111,0.0645,22,9,171
