Setting,Lecture,marker_window_pm_sec,semantic_confirm_threshold,min_distance_sec,Precision,Recall,F1,Predicted Boundaries,GT Boundaries,marker_count_deduped,semantic_raw_before_gate
F1_pm20_c06_md20,lecture1,20,0.6,20.0,0.2955,0.3939,0.3377,44,33,41,204
F1_pm20_c06_md20,lecture2,20,0.6,20.0,0.3469,0.3469,0.3469,49,49,40,285
F1_pm20_c06_md20,lecture3,20,0.6,20.0,0.2308,0.375,0.2857,39,24,36,187
F1_pm20_c06_md20,lecture4,20,0.6,20.0,0.2941,0.2941,0.2941,34,34,46,176
