pred_index,pred_time_sec,similarity,nearest_gt_dist_sec,fp_bucket
0,156.83,0.470768,144.83,spurious_far
1,197.669,0.468374,185.669,spurious_far
2,238.429,0.262127,166.571,spurious_far
3,278.23,0.430018,126.77,spurious_far
5,475.23,0.318887,70.23,offset_near_miss
6,512.979,0.548565,107.979,offset_near_miss
7,579.859,0.43627,174.859,spurious_far
8,671.599,0.377794,248.401,spurious_far
9,722.9,0.40254,197.1,spurious_far
10,774.71,0.530051,145.29,spurious_far
11,858.64,0.455431,61.36,offset_near_miss
13,990.469,0.49294,70.469,offset_near_miss
14,1090.92,0.33518,170.92,spurious_far
15,1172.089,0.468222,252.089,spurious_far
16,1311.42,0.504706,138.58,spurious_far
17,1370.199,0.46643,79.801,offset_near_miss
18,1412.16,0.521978,37.84,offset_near_miss
20,1596.89,0.33998,146.89,spurious_far
21,1632.979,0.415106,182.979,spurious_far
22,1740.54,0.525978,290.54,spurious_far
23,1785.719,0.543505,335.719,spurious_far
24,1837.43,0.491621,387.43,spurious_far
25,1921.0,0.464896,414.0,spurious_far
26,1982.29,0.53621,352.71,spurious_far
27,2026.27,0.444202,308.73,spurious_far
28,2143.489,0.293104,191.511,spurious_far
29,2206.159,0.37245,128.841,spurious_far
30,2237.889,0.370992,97.111,offset_near_miss
31,2415.659,0.358923,80.659,offset_near_miss
32,2493.3,0.513255,158.3,spurious_far
33,2534.35,0.461173,199.35,spurious_far
34,2565.57,0.404454,230.57,spurious_far
35,2778.02,0.491894,356.98,spurious_far
36,2945.81,0.468043,189.19,spurious_far
37,2997.35,0.474936,137.65,spurious_far
38,3094.05,0.276929,40.95,offset_near_miss
40,3207.889,0.548868,72.889,offset_near_miss
41,3251.76,0.378345,116.76,offset_near_miss
42,3292.939,0.439315,157.939,spurious_far
43,3351.219,0.529233,216.219,spurious_far
44,3385.79,0.52266,250.79,spurious_far
45,3490.919,0.455958,355.919,spurious_far
46,3565.969,0.334491,364.031,spurious_far
47,3624.32,0.472796,305.68,spurious_far
48,3664.889,0.370052,265.111,spurious_far
49,3703.75,0.468005,226.25,spurious_far
50,3741.05,0.532155,188.95,spurious_far
51,3858.09,0.511455,71.91,offset_near_miss
52,3899.939,0.4067,30.061,offset_near_miss
53,3978.179,0.517743,48.179,offset_near_miss
54,4025.26,0.423767,95.26,offset_near_miss
55,4097.56,0.470492,167.56,spurious_far
56,4184.83,0.415655,254.83,spurious_far
57,4332.43,0.532452,177.57,spurious_far
58,4405.95,0.419132,104.05,offset_near_miss
59,4541.779,0.322502,31.779,offset_near_miss
60,4626.58,0.403578,116.58,offset_near_miss
61,4670.81,0.440997,160.81,spurious_far
62,4706.339,0.417103,196.339,spurious_far
63,4744.299,0.467168,234.299,spurious_far
64,4785.529,0.504599,275.529,spurious_far
65,4844.359,0.508981,295.641,spurious_far
66,4900.529,0.449509,239.471,spurious_far
67,4945.149,0.314954,194.851,spurious_far
68,4991.819,0.510987,148.181,spurious_far
69,5058.31,0.384655,81.69,offset_near_miss
71,5165.89,0.349106,25.89,redundant_near_gt
72,5219.16,0.276754,79.16,offset_near_miss
73,5277.379,0.166899,137.379,spurious_far
74,5334.5,0.468311,194.5,spurious_far
75,5420.85,0.434199,280.85,spurious_far
76,5461.27,0.503513,321.27,spurious_far
77,5542.939,0.396748,402.939,spurious_far
78,5621.41,0.360881,481.41,spurious_far
79,5754.399,0.440397,614.399,spurious_far
