Setting,Lecture,marker_window_pm_sec,confirm_threshold,prominence_min,context_span,min_distance_sec,Precision,Recall,F1,Predicted Boundaries,GT Boundaries,semantic_after_prominence
F2_pm20_c06_p008_md20_s1,lecture1,20,0.6,0.08,1,20.0,0.2632,0.303,0.2817,38,33,157
F2_pm20_c06_p008_md20_s1,lecture2,20,0.6,0.08,1,20.0,0.3778,0.3469,0.3617,45,49,235
F2_pm20_c06_p008_md20_s1,lecture3,20,0.6,0.08,1,20.0,0.25,0.3333,0.2857,32,24,146
F2_pm20_c06_p008_md20_s1,lecture4,20,0.6,0.08,1,20.0,0.3226,0.2941,0.3077,31,34,145
