Setting,Lecture,marker_window_pm_sec,semantic_confirm_threshold,min_distance_sec,Precision,Recall,F1,Predicted Boundaries,GT Boundaries,marker_count_deduped,semantic_raw_before_gate
F1_pm5_c055_md30,lecture1,5,0.55,30.0,0.125,0.1111,0.1176,8,9,41,129
F1_pm5_c055_md30,lecture2,5,0.55,30.0,0.1053,0.1818,0.1333,19,11,40,211
F1_pm5_c055_md30,lecture3,5,0.55,30.0,0.0,0.0,0.0,13,10,36,122
F1_pm5_c055_md30,lecture4,5,0.55,30.0,0.125,0.1111,0.1176,8,9,46,119
