Method,Lecture,Precision,Recall,F1,Predicted Boundaries,Ground Truth Boundaries,tp,fp,fn,tolerance_sec
time_10s_t055_d20,lecture1,0.0732,0.3333,0.12,41,9,3,38,6,30.0
time_10s_t055_d20,lecture2,0.0213,0.0909,0.0345,47,11,1,46,10,30.0
time_10s_t055_d20,lecture3,0.0909,0.3,0.1395,33,10,3,30,7,30.0
time_10s_t055_d20,lecture4,0.1,0.3333,0.1538,30,9,3,27,6,30.0
