Setting,marker_window_pm_sec,semantic_confirm_threshold,min_distance_sec,Precision,Recall,F1,Predicted Boundaries
F1_pm5_c055_md30,5,0.55,30,0.0888,0.101,0.0921,12.0
F1_pm5_c06_md30,5,0.6,30,0.0822,0.1538,0.1069,18.5
F1_pm10_c055_md30,10,0.55,30,0.0959,0.2015,0.129,20.5
F1_pm10_c06_md30,10,0.6,30,0.1059,0.2997,0.1562,27.0
F1_pm15_c055_md30,15,0.55,30,0.1066,0.2798,0.153,24.5
F1_pm15_c06_md30,15,0.6,30,0.1187,0.3803,0.1802,30.25
