Lecture,F3_OR_sw20_pm15_c06_md30,F3_OR_sw30_pm15_c06_md30,F3_AND_sw20_pm15_c06_md30
lecture1,0.2326,0.2326,0.0
lecture2,0.2041,0.2041,0.0
lecture3,0.2162,0.2162,0.0
lecture4,0.1212,0.1212,0.0
