Lecture,prominence_min_0.0,prominence_min_0.02,prominence_min_0.04,prominence_min_0.06,prominence_min_0.08
lecture1,0.2381,0.2439,0.2051,0.1579,0.1081
lecture2,0.2041,0.2083,0.2083,0.1739,0.2174
lecture3,0.2162,0.1667,0.1667,0.1765,0.1875
lecture4,0.0625,0.0645,0.0645,0.0645,0.0645
