Setting,Rule,slide_window_sec,Lecture,marker_window_pm_sec,confirm_threshold,min_distance_sec,Precision,Recall,F1,Predicted Boundaries,GT Boundaries,semantic_after_marker_gate,slide_aux_candidates,candidates_before_min_distance,slide_times_count
F3_AND_sw20_pm20_c06_md20,AND,20.0,lecture1,20,0.6,20.0,0.3333,0.0303,0.0556,3,33,70,0,5,16
F3_AND_sw20_pm20_c06_md20,AND,20.0,lecture2,20,0.6,20.0,0.75,0.0612,0.1132,4,49,83,0,9,21
F3_AND_sw20_pm20_c06_md20,AND,20.0,lecture3,20,0.6,20.0,1.0,0.0833,0.1538,2,24,60,0,2,7
F3_AND_sw20_pm20_c06_md20,AND,20.0,lecture4,20,0.6,20.0,0.0,0.0,0.0,3,34,47,0,4,8
